readcode,readterm,cat
C333.,Macroglobulinaemia,Any malignancy
B6224,Sezary's disease of lymph nodes of axilla and upper limb,Any malignancy
Byu7.,[X]Malignant neoplasm of female genital organs,Any malignancy
BB5T.,[M]Papillary adenomas and adenocarcinomas,Any malignancy
B6014,Lymphosarcoma of lymph nodes of axilla and upper limb,Any malignancy
B3361,Malignant neoplasm of skin of upper arm,Any malignancy
ZV101,[V]Personal history of malignant neoplasm of bronchus,Any malignancy
B8230,Carcinoma in situ of skin of forehead skin,Any malignancy
1538A,ADENOCARCINOMA COLON,Any malignancy
B66yz,Other monocytic leukaemia NOS,Any malignancy
BB1K.,[M]Oat cell carcinoma,Any malignancy
B6250,Letterer-Siwe disease of unspecified sites,Any malignancy
B113.,Malignant neoplasm of fundus of stomach,Any malignancy
B3001,Malignant neoplasm of frontal bone,Any malignancy
B3101,Malignant neoplasm of soft tissue of face,Any malignancy
B8yy.,Carcinoma in situ of other specified site,Any malignancy
B6203,Nodular lymphoma of intra-abdominal lymph nodes,Any malignancy
B303.,"Malignant neoplasm of ribs, sternum and clavicle",Any malignancy
B6101,"Hodgkin's paragranuloma of lymph nodes of head, face, neck",Any malignancy
1579A,MALIGNANT NEOPLASM PANCREAS,Any malignancy
B542z,Malig neop pituitary gland or craniopharyngeal duct NOS,Any malignancy
1639M,PLEURA MESOTHELIOMA,Any malignancy
BBEX.,[M]Melanoma in situ,Any malignancy
B62z3,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes,Any malignancy
B540z,Malignant neoplasm of adrenal gland NOS,Any malignancy
BB5F.,[M]Trabecular adenocarcinoma,Any malignancy
B8123,Carcinoma in situ of middle lobe bronchus and lung,Any malignancy
B6004,Reticulosarcoma of lymph nodes of axilla and upper limb,Any malignancy
B3322,Malignant neoplasm of pinna NEC,Any malignancy
B1z0.,"Malignant neoplasm of intestinal tract, part unspecified",Any malignancy
B6275,Diffuse non-Hodgkin mixed sml & lge cell (diffuse) lymphoma,Any malignancy
B316.,Malig neop of connective and soft tissue trunk unspecified,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of skin,Any malignancy
B4A10,Malignant neoplasm of renal calyces,Any malignancy
BB2J.,"[M]Squamous cell carcinoma, microinvasive",Any malignancy
B554.,Malignant neoplasm of upper limb NOS,Any malignancy
B5240,"Malignant neoplasm of peripheral nerves of head, face & neck",Any malignancy
BB5Tz,[M]Papillary adenoma or adenocarcinoma NOS,Any malignancy
B64y2,Adult T-cell leukaemia,Any malignancy
1830T,TERATOMA OVARY,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of brain,Any malignancy
2051,MYELOID LEUKAEMIA CHRONIC,Any malignancy
BBd2.,"[M]Meningioma, malignant",Any malignancy
B3374,Malignant neoplasm of skin of lower leg,Any malignancy
B800z,"Carcinoma in situ of lip, oral cavity and pharynx NOS",Any malignancy
BB5N.,[M]Adenomatous and adenocarcinomatous polyps of colon,Any malignancy
174 D,ADENOCARCINOMA BREAST ULCERATION,Any malignancy
1991C,CARCINOMA RECURRENT,Any malignancy
B6140,"Hodgkin's disease, nodular sclerosis of unspecified site",Any malignancy
B8234,Carcinoma in situ of skin of nose,Any malignancy
BBE1.,[M]Malignant melanoma NOS,Any malignancy
1959D,MALIGNANT NEOPLASM FOOT,Any malignancy
B122.,Malignant neoplasm of ileum,Any malignancy
BB22.,[M]Papillary carcinoma NOS,Any malignancy
B617.,Nodular lymphocyte predominant Hodgkin lymphoma,Any malignancy
B2011,Malignant neoplasm of tympanic cavity,Any malignancy
B62z.,Malignant neoplasms of lymphoid and histiocytic tissue NOS,Any malignancy
ZV107,[V]Personal history of reticulosarcoma,Any malignancy
B8037,Carcinoma in situ of splenic flexure of colon,Any malignancy
B67..,Other specified leukaemia,Any malignancy
ByuE.,[X]Malignant neoplasms/independent (primary) multiple sites,Any malignancy
BBY0.,[M]Ewing's sarcoma,Any malignancy
BB5b.,[M]Granular cell carcinoma,Any malignancy
B8012,Carcinoma in situ of lower 1/3 oesophagus,Any malignancy
BBJ8.,[M]Mixed type liposarcoma,Any malignancy
B004.,"Malignant neoplasm of lip unspecified, inner aspect",Any malignancy
BBA2.,[M]Acinar cell carcinoma,Any malignancy
B34..,Ca female breast,Any malignancy
B624z,Leukaemic reticuloendotheliosis NOS,Any malignancy
BB5D1,[M]Bile duct carcinoma,Any malignancy
BBkz.,"[M]Lymphoma, nodular or follicular NOS",Any malignancy
1619C,CARCINOMA VOCAL CORD,Any malignancy
BBg10,"[M]Malignant lymphoma, diffuse NOS",Any malignancy
1942A,THYMOMA MALIGNANT,Any malignancy
B21y.,"Malignant neoplasm of larynx, other specified site",Any malignancy
B021.,Malignant neoplasm of submandibular gland,Any malignancy
B2230,Malignant neoplasm of middle lobe bronchus,Any malignancy
B31..,Malignant neoplasm of connective and other soft tissue,Any malignancy
BB5Wz,[M]Oxyphilic adenoma or adenocarcinoma NOS,Any malignancy
B3050,Malignant neoplasm of carpal bone - scaphoid,Any malignancy
B8106,Carcinoma in situ of aryepiglottic fold,Any malignancy
B62x6,True histiocytic lymphoma,Any malignancy
1450C,CARCINOMA MOUTH CHEEK INTERNAL,Any malignancy
BB06.,"[M]Tumour cells, uncertain whether benign or malignant",Any malignancy
1621A,NEOPLASM MALIGNANT BRONCHUS,Any malignancy
B6120,Hodgkin's sarcoma of unspecified site,Any malignancy
B8005,Carcinoma in situ of cheek,Any malignancy
B1503,Hepatocellular carcinoma,Any malignancy
BB5J.,[M]Cylindroid adenocarcinoma,Any malignancy
BB5Nz,[M]Adenomatous or adenocarcinomatous polyps of the colon NOS,Any malignancy
2020,LYMPHOMA GIANT FOLLICULAR,Any malignancy
B541.,Malignant neoplasm of parathyroid gland,Any malignancy
174 C,CARCINOMA BREAST INDURATED,Any malignancy
BBT1.,[M]Haemangiosarcoma,Any malignancy
B5001,Malignant neoplasm of iris,Any malignancy
B33..,Malignant neoplasm of sebaceous gland,Any malignancy
B622.,Sezary's disease,Any malignancy
B6256,Letterer-Siwe disease of intrapelvic lymph nodes,Any malignancy
BBgB.,"[M]Malignant lymphoma, follicular centre cell NOS",Any malignancy
2001W,LYMPHOSARCOMA WELL DIFFERENTIATED,Any malignancy
149 C,PHARYNX CARCINOMA,Any malignancy
1619A,NEOPLASM MALIGNANT LARYNX,Any malignancy
B62zz,Immunoproliferative neoplasm,Any malignancy
B000z,"Malignant neoplasm of upper lip, vermilion border NOS",Any malignancy
B240.,Malignant neoplasm of thymus,Any malignancy
BBk0.,[M]Brill - Symmers' disease,Any malignancy
B175.,"Malignant neoplasm, overlapping lesion of pancreas",Any malignancy
149 A,MALIGNANT NEOPLASM PHARYNX,Any malignancy
BBk3.,"[M]Malig lymphoma, lymphocytic, well differentiated,nodular",Any malignancy
ZV102,[V]Personal history of malignant neoplasm - accessory sinus,Any malignancy
1562C,CARCINOMA AMPULLA VATER,Any malignancy
Byu10,[X]Other sarcomas of the liver,Any malignancy
1929A,MALIGNANT NEOPLASM NERVOUS SYSTEM,Any malignancy
B10z.,Malignant neoplasm of oesophagus NOS,Any malignancy
BBgN.,"[M]Malign lymphoma,lymphocytic,intermediate differn, diffuse",Any malignancy
1729B,MALIGNANT MELANOMA SKIN,Any malignancy
1429C,CARCINOMA SALIVARY GLAND,Any malignancy
B9110,Choriocarcinoma,Any malignancy
203 H,HEAVY-CHAIN DISEASE,Any malignancy
BBdB.,[M]Meningeal sarcomatosis,Any malignancy
B220.,Malignant neoplasm of trachea,Any malignancy
BB5az,[M]Renal adenoma or carcinoma NOS,Any malignancy
BB1C.,[M]Giant cell carcinoma,Any malignancy
2072D,DI GUGLIELMO'S DISEASE,Any malignancy
B6272,Follicular non-Hodgkin's large cell lymphoma,Any malignancy
B211.,Malignant neoplasm of supraglottis,Any malignancy
B338.,Squamous cell carcinoma of skin,Any malignancy
1820A,MALIGNANT NEOPLASM UTERUS CORPUS,Any malignancy
B3064,Malignant neoplasm of coccygeal vertebra,Any malignancy
B6103,Hodgkin's paragranuloma of intra-abdominal lymph nodes,Any malignancy
B55yz,Malignant neoplasm of specified site NOS,Any malignancy
1733A,MALIGNANT NEOPLASM CHEEK EXTERNAL,Any malignancy
B6157,"Hodgkin's disease, mixed cellularity of spleen",Any malignancy
B6227,Sezary's disease of spleen,Any malignancy
BBk0.,[M]Giant follicular lymphoma,Any malignancy
1736A,MALIGNANT NEOPLASM BUTTOCK,Any malignancy
B34y.,Malignant neoplasm of other site of female breast,Any malignancy
B117.,"Malignant neoplasm, overlapping lesion of stomach",Any malignancy
B8331,Carcinoma in situ of fallopian tube,Any malignancy
BBj0.,[M]Hodgkin's disease NOS,Any malignancy
B4310,Malignant neoplasm of lower uterine segment,Any malignancy
B1800,Malignant neoplasm of periadrenal tissue,Any malignancy
1890W,WILM'S TUMOUR,Any malignancy
B06y.,"Malignant neoplasm of oropharynx, other specified sites",Any malignancy
B17z.,Malignant neoplasm of pancreas NOS,Any malignancy
1561C,CARCINOMA EXTRAHEPATIC BILE DUCT,Any malignancy
1739B,EPITHELIOMA BASAL CELL,Any malignancy
B00z0,"Malignant neoplasm of lip, unspecified, external",Any malignancy
B820.,Carcinoma in situ of skin of lip,Any malignancy
B822.,Carcinoma in situ of ear,Any malignancy
ZV100,[V]Personal history of malignant neoplasm of stomach,Any malignancy
B5502,Malignant neoplasm of nose NOS,Any malignancy
159 C,GASTROINTESTINAL CARCINOMA,Any malignancy
B1z..,Malig neop oth/ill-defined sites digestive tract/peritoneum,Any malignancy
BBK2z,[M]Myoma or myosarcoma NOS,Any malignancy
B5002,Malignant neoplasm of crystalline lens,Any malignancy
BBf..,[M]Granular cell tumours and alveolar soft part sarcoma,Any malignancy
BBLD.,[M]Embryonal sarcoma,Any malignancy
B4301,Malignant neoplasm of fundus of corpus uteri,Any malignancy
B48yz,Malignant neoplasm of other male genital organ NOS,Any malignancy
BBV..,[M]Osteomas and osteosarcomas,Any malignancy
1959A,MALIGNANT NEOPLASM NECK,Any malignancy
B07z.,Malignant neoplasm of nasopharynx NOS,Any malignancy
B054.,Malignant neoplasm of uvula,Any malignancy
203 N,MYELOMA,Any malignancy
BBn3.,"[M]Plasma cell tumour, malignant",Any malignancy
ZV107,[V]Personal history of lymphosarcoma,Any malignancy
1609A,MALIGNANT NEOPLASM SINUS (ACCESSORY RESP,Any malignancy
B8086,Carcinoma in situ of ampulla of Vater,Any malignancy
B6235,Malignant histiocytosis of lymph nodes inguinal and leg,Any malignancy
BB821,[M]Mucous adenocarcinoma,Any malignancy
BB2C.,"[M]Epidermoid carcinoma, keratinising type",Any malignancy
BB2A.,[M]Epidermoid carcinoma NOS,Any malignancy
BBQ73,[M]Teratocarcinoma,Any malignancy
B6228,Sezary's disease of lymph nodes of multiple sites,Any malignancy
BBET.,[M]Mixed epithelioid and spindle melanoma,Any malignancy
B134.,Malignant neoplasm of caecum,Any malignancy
B6200,Nodular lymphoma of unspecified site,Any malignancy
B691.,Chronic myelomonocytic leukaemia,Any malignancy
BBF2.,[M]Sarcomatosis NOS,Any malignancy
B3030,Malignant neoplasm of rib,Any malignancy
BB1J.,[M]Round cell carcinoma,Any malignancy
BBgD.,"[M]Malig lymphoma, lymphocytic, intermediate different NOS",Any malignancy
B051z,Malignant neoplasm of vestibule of mouth NOS,Any malignancy
2022G,SARCOMA GRANULOCYTIC,Any malignancy
B4701,Malignant neoplasm of retained testis,Any malignancy
BB5V7,[M]Basophil carcinoma,Any malignancy
B07..,Malignant neoplasm of nasopharynx,Any malignancy
2022,LYMPHOMA,Any malignancy
B335A,Malignant neoplasm of skin of scapular region,Any malignancy
ZV100,[V]Personal history of malig neop of gastrointestinal tract,Any malignancy
B5201,Malignant neoplasm of optic nerve,Any malignancy
B0022,"Malignant neoplasm of upper lip, mucosa",Any malignancy
B6245,Leukaemic reticuloend of lymph nodes inguinal region and leg,Any malignancy
B016.,Malignant neoplasm of lingual tonsil,Any malignancy
B651.,Chronic myeloid leukaemia,Any malignancy
2059M,MYELOCYTIC LEUKAEMIA,Any malignancy
BBf2.,[M]Alveolar soft part sarcoma,Any malignancy
B81y6,Carcinoma in situ of maxillary sinus,Any malignancy
B520.,Malignant neoplasm of cranial nerves,Any malignancy
1890N,NODULAR RENAL BLASTOMA,Any malignancy
Byu81,[X]Malignant neoplasm/overlapping lesion/male genital organs,Any malignancy
B220z,Malignant neoplasm of trachea NOS,Any malignancy
BBTA.,[M]Kaposi's sarcoma,Any malignancy
B6240,Leukaemic reticuloendotheliosis of unspecified sites,Any malignancy
B3131,Malignant neoplasm of diaphragm,Any malignancy
B6y1.,Megakaryocytic myelosclerosis,Any malignancy
B0720,Malignant neoplasm of pharyngeal recess,Any malignancy
B0730,Malignant neoplasm of floor of nasopharynx,Any malignancy
1420A,PAROTID MALIGNANT NEOPLASM,Any malignancy
BBDB.,[M]Glomangiosarcoma,Any malignancy
208 C,ERYTHRAEMIA CHRONIC,Any malignancy
ByuA2,"[X]Malignant neoplasm of meninges, unspecified",Any malignancy
B8253,Carcinoma in situ of skin of back,Any malignancy
186 T,TERATOMA,Any malignancy
B300C,Malignant neoplasm of vomer,Any malignancy
1739C,CARCINOMA SKIN,Any malignancy
B507z,Malignant neoplasm of lacrimal duct NOS,Any malignancy
B0711,Malignant neoplasm of pharyngeal tonsil,Any malignancy
B8235,Carcinoma in situ of skin of temple,Any malignancy
B0...,"Carcinoma of lip, oral cavity and pharynx",Any malignancy
B6233,Malignant histiocytosis of intra-abdominal lymph nodes,Any malignancy
B344.,Malignant neoplasm of upper-outer quadrant of female breast,Any malignancy
B12y.,Malignant neoplasm of other specified site small intestine,Any malignancy
B6010,Lymphosarcoma of unspecified site,Any malignancy
BB69.,[M]Sebaceous adenoma and adenocarcinoma,Any malignancy
1991A,ADENOCARCINOMA,Any malignancy
B34yz,Malignant neoplasm of other site of female breast NOS,Any malignancy
BBTK.,"[M]Epithelioid haemangioendothelioma, malignant",Any malignancy
B61z.,Hodgkin lymphoma NOS,Any malignancy
BBv2.,[M]AngiocentricT-cell lymphoma,Any malignancy
BBP7.,"[M]Mesothelioma, biphasic type, malignant",Any malignancy
B2z..,Malig neop other/ill-defined sites resp/intrathoracic organs,Any malignancy
B671.,Chronic erythraemia,Any malignancy
B6...,Malignant neoplasm of histiocytic tissue,Any malignancy
1890M,MESOBLASTIC NEPHROMA,Any malignancy
B3042,Malignant neoplasm of humerus,Any malignancy
1723A,NOSE EXTERNAL MALIGNANT NEOPLASM,Any malignancy
B8233,Carcinoma in situ of skin of cheek,Any malignancy
BB5fz,[M]Thyroid adenoma or adenocarcinoma NOS,Any malignancy
B325.,Malignant melanoma of trunk (excluding scrotum),Any malignancy
1702P,MALIGNANT NEOPLASM SPINE,Any malignancy
B444.,Malignant neoplasm of round ligament,Any malignancy
B140.,Malignant neoplasm of rectosigmoid junction,Any malignancy
BBe2.,[M]Neurofibrosarcoma,Any malignancy
BBEG0,"[M]Acral lentiginous melanoma, malignant",Any malignancy
B0001,"Malignant neoplasm of upper lip, lipstick area",Any malignancy
BB21.,[M]Papillary carcinoma in situ,Any malignancy
4M22.,Lymphoma stage III,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of eye,Any malignancy
B516.,Malignant neoplasm of cerebellum,Any malignancy
BBW8.,"[M]Chondroblastoma, malignant",Any malignancy
B8241,Carcinoma in situ of skin of neck,Any malignancy
1519D,ADENOCARCINOMA STOMACH,Any malignancy
BB5N.,[M]Adenoma or or adenocarcinoma in polyposis coli,Any malignancy
B65z.,Myeloid leukaemia NOS,Any malignancy
B315.,Malignant neoplasm of connective and soft tissue of pelvis,Any malignancy
B81y9,Carcinoma in situ of sphenoidal sinus,Any malignancy
B55y.,Malignant neoplasm of other specified sites,Any malignancy
B6237,Malignant histiocytosis of spleen,Any malignancy
1719H,HAEMANGIOBLASTOMA,Any malignancy
BB5Mz,[M]Tubular adenoma or adenocarcinoma NOS,Any malignancy
B5244,Malignant neoplasm of peripheral nerve of abdomen,Any malignancy
B62y5,Malignant lymphoma NOS of lymph node inguinal region and leg,Any malignancy
B017.,Malignant overlapping lesion of tongue,Any malignancy
186 B,TESTIS ADENOCARCINOMA INFANCY,Any malignancy
B8003,Carcinoma in situ of gums,Any malignancy
B18y5,Malignant neoplasm of pelvic peritoneum,Any malignancy
B612z,Hodgkin's sarcoma NOS,Any malignancy
BBF1.,[M]Sarcoma NOS,Any malignancy
B25..,"Malig neo, overlapping lesion of heart, mediastinum & pleura",Any malignancy
BBVA.,[M] Small cell osteosarcoma,Any malignancy
B2412,Malignant neoplasm of myocardium,Any malignancy
B35..,Malignant neoplasm of male breast,Any malignancy
2049A,ADENITIS LEUKAEMIC,Any malignancy
B322.,Malignant melanoma of ear and external auricular canal,Any malignancy
BBj2.,"[M]Hodgkin's disease, mixed cellularity",Any malignancy
B828W,"Melanoma in situ, unspecified",Any malignancy
BBJ5.,[M]Myxoid liposarcoma,Any malignancy
1736A,MALIGNANT NEOPLASM UMBILICUS,Any malignancy
B3375,Malignant neoplasm of skin of ankle,Any malignancy
B172.,Malignant neoplasm of tail of pancreas,Any malignancy
1719,LYMPHANGIOSARCOMA,Any malignancy
BB5K.,[M]Cribriform carcinoma,Any malignancy
BBm1.,[M]Malignant histiocytosis,Any malignancy
BB5V.,[M]Pituitary adenomas and carcinomas,Any malignancy
BB910,[M]Intraductal papillary adenocarcinoma with invasion,Any malignancy
B8yy1,Carcinoma in situ of adrenal gland,Any malignancy
B30..,Osteoma,Any malignancy
1528L,MALIGNANT NEOPLASM ILEUM,Any malignancy
B1610,Malignant neoplasm of cystic duct,Any malignancy
Byu25,"[X]Malignant neoplasm of mediastinum, part unspecified",Any malignancy
203 T,MYELOMATOSIS,Any malignancy
BB29.,[M]Epidermoid carcinoma in situ,Any malignancy
B053.,Malignant neoplasm of soft palate,Any malignancy
B65y0,Aleukaemic myeloid leukaemia,Any malignancy
1830A,ADENOCARCINOMA OVARY,Any malignancy
B332.,Malignant neoplasm skin of ear and external auricular canal,Any malignancy
B6160,Hodgkin's lymphocytic depletion of unspecified site,Any malignancy
B334z,Malignant neoplasm of scalp or skin of neck NOS,Any malignancy
BBL0.,[M]Endometrial stromal sarcoma,Any malignancy
B620z,Nodular lymphoma NOS,Any malignancy
B00y.,Malignant neoplasm of other sites of lip,Any malignancy
1943A,PITUITARY MALIGNANT NEOPLASM,Any malignancy
BB5W.,[M]Oxyphilic adenomas and adenocarcinomas,Any malignancy
159,GASTROINTESTINAL MALIGNANCY,Any malignancy
209 C,MYELOSCLEROSIS,Any malignancy
BB12.,[M]Carcinoma NOS,Any malignancy
B1510,Malignant neoplasm of interlobular bile ducts,Any malignancy
1736A,MALIGNANT NEOPLASM ANUS,Any malignancy
B481.,Malignant neoplasm of glans penis,Any malignancy
B52W.,"Malig neopl, overlap lesion brain & other part of CNS",Any malignancy
ByuB.,[X]Malignant neoplasm of thyroid and other endocrine glands,Any malignancy
BB9B.,[M]Medullary carcinoma NOS,Any malignancy
Byu8.,[X]Malignant neoplasm of male genital organs,Any malignancy
B0042,"Malignant neoplasm of lip unspecified, mucosa",Any malignancy
B0131,Malignant neoplasm of frenulum linguae,Any malignancy
B494.,Malignant neoplasm of posterior wall of urinary bladder,Any malignancy
B6158,Hodgkin's mixed cellularity of lymph nodes of multiple sites,Any malignancy
B171.,Malignant neoplasm of body of pancreas,Any malignancy
B3y..,"Malig neop of bone, connective tissue, skin and breast OS",Any malignancy
B6118,Hodgkin's granuloma of lymph nodes of multiple sites,Any malignancy
B11yz,Malignant neoplasm of other specified site of stomach NOS,Any malignancy
B340.,Malignant neoplasm of nipple and areola of female breast,Any malignancy
B62xX,Oth and unspecif peripheral & cutaneous T-cell lymphomas,Any malignancy
B5242,"Malignant neoplasm of peripheral nerve of low limb, incl hip",Any malignancy
BB69z,[M]Sebaceous adenoma or adenocarcinoma NOS,Any malignancy
ZV107,[V]Personal history of Hodgkin's disease,Any malignancy
BB5f2,"[M]Follicular adenocarcinoma, well differentiated type",Any malignancy
B6102,Hodgkin's paragranuloma of intrathoracic lymph nodes,Any malignancy
4M2..,Lymphoma staging system,Any malignancy
B827.,Carcinoma in situ of skin of lower limb and hip,Any malignancy
B6137,"Hodgkin's, lymphocytic-histiocytic predominance of spleen",Any malignancy
B6225,Sezary's disease of lymph nodes of inguinal region and leg,Any malignancy
B440.,Malignant neoplasm of ovary,Any malignancy
B000.,"Malignant neoplasm of upper lip, vermilion border",Any malignancy
B62F2,Lymphoblastic (diffuse) lymphoma,Any malignancy
B6258,Letterer-Siwe disease of lymph nodes of multiple sites,Any malignancy
2079A,ALEUKAEMIC LEUKAEMIA,Any malignancy
B44z.,Malignant neoplasm of uterine adnexa NOS,Any malignancy
BB5T1,[M]Papillary adenocarcinoma NOS,Any malignancy
ZV101,[V]Personal history of malignant neoplasm of lung,Any malignancy
2079M,MEGAKARYOCYTIC LEUKAEMIA,Any malignancy
B47z.,Seminoma of testis,Any malignancy
B3321,Malignant neoplasm of skin of external auditory meatus,Any malignancy
B063.,Malignant neoplasm of vallecula,Any malignancy
B8024,Carcinoma in situ of pyloric canal,Any malignancy
B18y0,Malignant neoplasm of mesocolon,Any malignancy
B31z0,Kaposi's sarcoma of soft tissue,Any malignancy
B60..,Lymphosarcoma and reticulosarcoma,Any malignancy
B3071,Malignant neoplasm of fibula,Any malignancy
B62E2,"Anaplastic large cell lymphoma, ALK-negative",Any malignancy
2059B,LEUKAEMIA BASOPHILIC,Any malignancy
B495.,Malignant neoplasm of bladder neck,Any malignancy
B12z.,Malignant neoplasm of small intestine NOS,Any malignancy
B512z,Malignant neoplasm of temporal lobe NOS,Any malignancy
1709A,MALIGNANT NEOPLASM BONE,Any malignancy
B65y.,Other myeloid leukaemia,Any malignancy
B5010,Malignant neoplasm of connective tissue of orbit,Any malignancy
BBQ74,"[M]Malignant teratoma, undifferentiated type",Any malignancy
1510A,MALIGNANT NEOPLASM CARDIA,Any malignancy
B500.,"Malig neop eyeball excl conjunctiva, cornea, retina, choroid",Any malignancy
B150.,Primary malignant neoplasm of liver,Any malignancy
BBX1.,"[M]Giant cell tumour of bone, malignant",Any malignancy
B203.,Malignant neoplasm of ethmoid sinus,Any malignancy
B202.,Malignant neoplasm of maxillary sinus,Any malignancy
BBg1.,[M]Lymphoma NOS,Any malignancy
BBgG.,"[M]Malignant lymphoma, lymphocytic, poorly different NOS",Any malignancy
B6264,Mast cell malignancy of lymph nodes of axilla and upper limb,Any malignancy
BBM9.,"[M]Cystosarcoma phyllodes, malignant",Any malignancy
BBEV.,"[M]Blue naevus, malignant",Any malignancy
B5104,Malignant neoplasm of hypothalamus,Any malignancy
2022C,CHLOROMA,Any malignancy
B20y.,"Malig neop other site nasal cavity, middle ear and sinuses",Any malignancy
BB53.,"[M]Adenocarcinoma, metastatic, NOS",Any malignancy
B611z,Hodgkin's granuloma NOS,Any malignancy
BBE1.,[M]Naevocarcinoma,Any malignancy
ByuE0,[X]Malignant neoplasms/independent(primary)multiple sites,Any malignancy
B3007,Malignant neoplasm of sphenoid bone,Any malignancy
BBj6.,"[M]Hodgkin's disease, nodular sclerosis NOS",Any malignancy
B301.,Malignant neoplasm of mandible,Any malignancy
190 B,RETINOBLASTOMA,Any malignancy
BB5R6,"[M]Mucocarcinoid tumour, malignant",Any malignancy
B5532,Malignant neoplasm of sacrococcygeal region,Any malignancy
B508.,"Malignant neoplasm, overlapping lesion of eye and adnexa",Any malignancy
B8010,Carcinoma in situ of upper 1/3 oesophagus,Any malignancy
BBm3.,[M]Letterer - Siwe disease,Any malignancy
BB5Bz,[M]Pancreatic adenoma or carcinoma NOS,Any malignancy
B105.,Malignant neoplasm of lower third of oesophagus,Any malignancy
B307.,Malignant neoplasm of long bones of leg,Any malignancy
B33X.,Malignant neoplasm overlapping lesion of skin,Any malignancy
B3355,Malignant neoplasm of skin of groin,Any malignancy
1700A,MALIGNANT NEOPLASM SKULL,Any malignancy
B04z.,Malignant neoplasm of floor of mouth NOS,Any malignancy
B0023,"Malignant neoplasm of upper lip, oral aspect",Any malignancy
BBgQ.,[M]Malignant lymphomatous polyposis,Any malignancy
BBJ7.,[M]Pleomorphic liposarcoma,Any malignancy
B14z.,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS",Any malignancy
BB5D5,"[M]Hepatoma, malignant",Any malignancy
B8251,Carcinoma in situ of skin of chest wall NOS,Any malignancy
B3264,Malignant melanoma of finger,Any malignancy
BB5U.,[M]Villous adenomas and adenocarcinomas,Any malignancy
1739A,SKIN NEOPLASM MALIGNANT,Any malignancy
B524.,Malig neopl peripheral nerves and autonomic nervous system,Any malignancy
B5211,Malignant neoplasm of cerebral arachnoid mater,Any malignancy
BBjz.,[M]Hodgkin's disease NOS,Any malignancy
B545.,Malignant neoplasm of aortic body and other paraganglia,Any malignancy
1719M,MYOSARCOMA,Any malignancy
B0601,Malignant neoplasm of palatine tonsil,Any malignancy
B200z,Malignant neoplasm of nasal cavities NOS,Any malignancy
BBB2.,[M]Adenocarcinoma with squamous metaplasia,Any malignancy
1630A,PLEURA NEOPLASM MALIGNANT PRIMARY,Any malignancy
B331.,Malignant neoplasm of eyelid including canthus,Any malignancy
1621A,NEOPLASM MALIGNANT LUNG,Any malignancy
1899A,URETHRAL MALIGNANT NEOPLASM,Any malignancy
B3250,Malignant melanoma of axilla,Any malignancy
B8250,Carcinoma in situ of skin of breast,Any malignancy
B3153,Malig neopl of connective and soft tissue - sacrum or coccyx,Any malignancy
B4A1.,Malignant neoplasm of renal pelvis,Any malignancy
BB0A.,"[M]Malignant tumour, fusiform cell type",Any malignancy
B0130,Malignant neoplasm of anterior 2/3 of tongue ventral surface,Any malignancy
BBd2.,[M]Leptomeningeal sarcoma,Any malignancy
B5003,Malignant neoplasm of sclera,Any malignancy
C333z,Macroglobulinaemia NOS,Any malignancy
B483.,"Malignant neoplasm of penis, part unspecified",Any malignancy
B03..,Malignant neoplasm of gum,Any malignancy
ByuDD,[X]Oth and unspecif peripheral & cutaneous T-cell lymphomas,Any malignancy
B4302,Malignant neoplasm of endometrium of corpus uteri,Any malignancy
B010.,Malignant neoplasm of base of tongue,Any malignancy
B8071,Carcinoma in situ of jejunum,Any malignancy
B102.,Malignant neoplasm of abdominal oesophagus,Any malignancy
1631A,MALIGNANT NEOPLASM MEDIASTINUM,Any malignancy
B3257,Malignant melanoma of back,Any malignancy
B6123,Hodgkin's sarcoma of intra-abdominal lymph nodes,Any malignancy
B5202,Malignant neoplasm of acoustic nerve,Any malignancy
B62y3,Malignant lymphoma NOS of intra-abdominal lymph nodes,Any malignancy
B310z,"Malig neop connective and soft tissue head, face, neck NOS",Any malignancy
BB5Cz,[M]Gastrinoma or carcinoma NOS,Any malignancy
B302z,Malignant neoplasm of vertebral column NOS,Any malignancy
1942A,THYMUS MALIGNANT NEOPLASM,Any malignancy
B8yyz,Carcinoma in situ of other specified site NOS,Any malignancy
B431.,Malignant neoplasm of isthmus of uterine body,Any malignancy
B011.,Malignant neoplasm of dorsal surface of tongue,Any malignancy
2102A,PAROTID GLAND ADENOMA,Any malignancy
BB24.,[M]Verrucous epidermoid carcinoma,Any malignancy
B8036,Carcinoma in situ of ascending colon,Any malignancy
BB911,[M]Infiltrating duct and lobular carcinoma,Any malignancy
B347.,"Malignant neoplasm, overlapping lesion of breast",Any malignancy
1539A,MALIGNANT NEOPLASM BOWEL,Any malignancy
188 C,CARCINOMA BLADDER,Any malignancy
BB93.,[M]Comedocarcinoma NOS,Any malignancy
B55..,Malignant neoplasm of other and ill-defined sites,Any malignancy
ZV106,[V]Personal history of myeloid leukaemia,Any malignancy
B30W.,Malignant neoplasm/overlap lesion/bone+articulr cartilage,Any malignancy
B641.,Chronic lymphatic leukaemia,Any malignancy
